,DriverNumber,Season,RoundNumber,TeamName,Position,QualiPosition,FastestTime,LastFinish,RollingAverage3,RollingStd3,Delta
277,27,2025,9,Kick Sauber,5.0,16.0,73.19,16.0,14.0,1.9999999999999984,1.6439999999999912
278,27,2025,10,Kick Sauber,8.0,13.0,72.183,5.0,11.0,5.5677643628300215,1.284000000000006
279,27,2025,11,Kick Sauber,9.0,20.0,65.606,8.0,9.666666666666666,5.686240703077327,1.634999999999998
280,27,2025,12,Kick Sauber,3.0,19.0,86.574,9.0,7.333333333333333,2.0816659994661317,1.6820000000000022
281,27,2025,13,Kick Sauber,12.0,14.0,101.707,3.0,6.666666666666667,3.2145502536643176,1.144999999999996
282,27,2025,14,Kick Sauber,13.0,19.0,76.081,12.0,8.0,4.58257569495584,1.1910000000000025
283,27,2025,15,Kick Sauber,14.0,17.0,70.195,13.0,9.333333333333334,5.507570547286101,1.532999999999987
284,27,2025,16,Kick Sauber,20.0,12.0,79.498,14.0,13.0,0.9999999999999964,0.7060000000000031
285,27,2025,17,Kick Sauber,16.0,17.0,102.916,20.0,15.666666666666666,3.785938897200182,1.7989999999999924
286,27,2025,18,Kick Sauber,20.0,11.0,90.141,16.0,16.666666666666668,3.055050463303893,0.983000000000004
287,27,2025,19,Kick Sauber,8.0,11.0,93.334,20.0,18.666666666666668,2.3094010767585016,0.8239999999999981
288,27,2025,20,Kick Sauber,20.0,13.0,77.016,8.0,14.666666666666666,6.110100926607786,1.4300000000000068
289,27,2025,21,Kick Sauber,9.0,10.0,69.985,20.0,16.0,6.928203230275508,0.4740000000000037
290,27,2025,22,Kick Sauber,7.0,11.0,112.781,9.0,12.333333333333334,6.658328118479392,4.847000000000008
291,27,2025,23,Kick Sauber,20.0,11.0,80.353,7.0,12.0,6.999999999999999,0.965999999999994
292,27,2025,24,Kick Sauber,9.0,18.0,83.45,20.0,12.0,6.999999999999999,1.2430000000000092
293,30,2025,1,Red Bull Racing,20.0,18.0,77.094,10.0,20.0,0.0,1.9979999999999905
294,30,2025,2,Red Bull Racing,12.0,20.0,92.174,20.0,20.0,0.0,1.5330000000000013
295,30,2025,3,Racing Bulls,17.0,14.0,87.906,12.0,16.0,5.656854249492381,0.9230000000000018
296,30,2025,4,Racing Bulls,16.0,17.0,92.165,17.0,16.333333333333332,4.041451884327381,2.3240000000000123
297,30,2025,5,Racing Bulls,12.0,12.0,88.191,16.0,15.0,2.6457513110645903,0.8970000000000056
