,DriverNumber,RoundNumber,FastestTime
146,18,8,0 days 00:01:12.563000
147,22,8,0 days 00:01:11.415000
148,23,8,0 days 00:01:10.732000
149,27,8,0 days 00:01:11.596000
150,30,8,0 days 00:01:11.129000
151,31,8,0 days 00:01:10.942000
152,43,8,0 days 00:01:12.597000
153,44,8,0 days 00:01:10.382000
154,55,8,0 days 00:01:11.362000
155,63,8,0 days 00:01:11.507000
156,81,8,0 days 00:01:10.129000
157,87,8,0 days 00:01:11.979000
158,1,9,0 days 00:01:11.848000
159,4,9,0 days 00:01:11.755000
160,5,9,0 days 00:01:12.756000
161,6,9,0 days 00:01:12.252000
162,10,9,0 days 00:01:12.199000
163,12,9,0 days 00:01:12.111000
164,14,9,0 days 00:01:12.284000
165,16,9,0 days 00:01:12.131000
166,18,9,0 days 00:01:13.038000
167,22,9,0 days 00:01:13.385000
168,23,9,0 days 00:01:12.641000
169,27,9,0 days 00:01:13.190000
170,30,9,0 days 00:01:12.763000
171,31,9,0 days 00:01:13.201000
172,43,9,0 days 00:01:13.334000
173,44,9,0 days 00:01:12.045000
174,55,9,0 days 00:01:13.203000
175,63,9,0 days 00:01:11.848000
176,81,9,0 days 00:01:11.546000
177,87,9,0 days 00:01:13.074000
178,1,10,0 days 00:01:11.059000
179,4,10,0 days 00:01:11.599000
180,5,10,0 days 00:01:12.385000
181,6,10,0 days 00:01:11.867000
182,10,10,0 days 00:01:12.667000
183,12,10,0 days 00:01:11.391000
184,14,10,0 days 00:01:11.586000
185,16,10,0 days 00:01:11.626000
186,18,10,0 days 00:01:12.517000
187,22,10,0 days 00:01:12.102000
188,23,10,0 days 00:01:11.892000
189,27,10,0 days 00:01:12.183000
190,30,10,0 days 00:01:12.525000
191,31,10,0 days 00:01:12.378000
192,43,10,0 days 00:01:12.142000
193,44,10,0 days 00:01:11.526000
194,55,10,0 days 00:01:12.398000
195,63,10,0 days 00:01:10.899000
196,81,10,0 days 00:01:11.120000
197,87,10,0 days 00:01:12.306000
198,1,11,0 days 00:01:04.836000
199,4,11,0 days 00:01:03.971000
200,5,11,0 days 00:01:04.846000
201,6,11,0 days 00:01:05.063000
202,10,11,0 days 00:01:04.846000
203,12,11,0 days 00:01:05.052000
204,14,11,0 days 00:01:05.128000
205,16,11,0 days 00:01:04.492000
206,18,11,0 days 00:01:05.329000
207,22,11,0 days 00:01:05.369000
208,23,11,0 days 00:01:05.143000
209,27,11,0 days 00:01:05.606000
210,30,11,0 days 00:01:04.926000
211,31,11,0 days 00:01:05.364000
212,43,11,0 days 00:01:05.278000
213,44,11,0 days 00:01:04.582000
214,55,11,0 days 00:01:05.582000
215,63,11,0 days 00:01:04.763000
216,81,11,0 days 00:01:04.554000
217,87,11,0 days 00:01:05.218000
218,1,12,0 days 00:01:24.892000
219,4,12,0 days 00:01:25.010000
220,5,12,0 days 00:01:26.446000
221,6,12,0 days 00:01:25.864000
222,10,12,0 days 00:01:25.711000
223,12,12,0 days 00:01:25.374000
224,14,12,0 days 00:01:25.593000
225,16,12,0 days 00:01:25.121000
226,18,12,0 days 00:01:26.504000
227,22,12,0 days 00:01:25.826000
228,23,12,0 days 00:01:25.889000
229,27,12,0 days 00:01:26.574000
230,30,12,0 days 00:01:26.440000
231,31,12,0 days 00:01:25.950000
232,43,12,0 days 00:01:27.060000
233,44,12,0 days 00:01:25.084000
234,55,12,0 days 00:01:25.746000
235,63,12,0 days 00:01:25.029000
236,81,12,0 days 00:01:24.995000
237,87,12,0 days 00:01:25.471000
238,1,13,0 days 00:01:40.903000
239,4,13,0 days 00:01:40.562000
240,5,13,0 days 00:01:41.336000
241,6,13,0 days 00:01:41.281000
242,10,13,0 days 00:01:41.633000
243,12,13,0 days 00:01:42.139000
244,14,13,0 days 00:01:42.385000
245,16,13,0 days 00:01:40.900000
246,18,13,0 days 00:01:42.502000
247,22,13,0 days 00:01:41.245000
248,23,13,0 days 00:01:41.201000
249,27,13,0 days 00:01:41.707000
250,30,13,0 days 00:01:41.297000
251,31,13,0 days 00:01:41.525000
252,43,13,0 days 00:01:42.022000
