DriverNumber,RoundNumber,Position,LastFinish,RollingAverage3,RollingStd3,FastestTime,Delta
10,21,10.0,15.0,17.666666666666668,2.309401076758504,69.857,0.34600000000000364
10,22,13.0,10.0,14.666666666666666,4.509249752822894,111.54,3.6060000000000088
10,23,16.0,13.0,12.666666666666666,2.5166114784235836,80.324,0.9369999999999976
10,24,19.0,16.0,13.0,3.0,83.468,1.26100000000001
12,1,4.0,,4.0,0.0,76.525,1.429000000000002
12,2,6.0,4.0,4.0,0.0,91.103,0.4619999999999891
12,3,6.0,6.0,5.0,1.4142135623730951,87.555,0.5720000000000027
12,4,11.0,6.0,5.333333333333333,1.1547005383792517,90.213,0.3719999999999999
12,5,6.0,11.0,7.666666666666667,2.8867513459481287,87.798,0.5040000000000049
12,6,6.0,6.0,7.666666666666667,2.8867513459481287,86.271,0.06700000000000728
12,7,20.0,6.0,7.666666666666667,2.8867513459481287,75.772,1.1020000000000039
12,8,18.0,20.0,10.666666666666666,8.082903768654761,71.88,1.926000000000002
12,9,20.0,18.0,14.666666666666666,7.571877794400364,72.111,0.5649999999999977
12,10,3.0,20.0,19.333333333333332,1.1547005383792401,71.391,0.49200000000000443
12,11,20.0,3.0,13.666666666666666,9.291573243177568,65.052,1.0810000000000102
12,12,20.0,20.0,14.333333333333334,9.814954576223638,85.374,0.4819999999999993
12,13,16.0,20.0,14.333333333333334,9.814954576223638,102.139,1.5769999999999982
12,14,10.0,16.0,18.666666666666668,2.3094010767584985,75.782,0.8919999999999959
12,15,16.0,10.0,15.333333333333334,5.0332229568471645,69.493,0.8309999999999889
12,16,9.0,16.0,14.0,3.464101615137752,79.2,0.40800000000000125
12,17,4.0,9.0,11.666666666666666,3.7859388972001797,101.464,0.3469999999999942
12,18,5.0,4.0,9.666666666666666,6.0277137733417065,89.537,0.3790000000000049
12,19,13.0,5.0,6.0,2.6457513110645863,93.044,0.5339999999999918
12,20,6.0,13.0,7.333333333333333,4.932882862316246,76.118,0.5319999999999965
12,21,2.0,6.0,8.0,4.358898943540672,69.685,0.1740000000000066
12,22,3.0,2.0,7.0,5.567764362830021,116.314,8.379999999999995
12,23,5.0,3.0,3.6666666666666665,2.0816659994661233,79.846,0.4590000000000032
12,24,15.0,5.0,3.3333333333333335,1.5275252316519334,82.894,0.6870000000000118
14,1,20.0,,20.0,0.0,76.288,1.191999999999993
14,2,20.0,20.0,20.0,0.0,91.688,1.046999999999997
